title,product,selling price,original price,discount,date posted ,likes,sold
Men's Adidas Samba Pony Wales Bonner Leopard Size 10.5,Adidas Samba,105.00,130.00,25.00,05/14/24,4,1
adidas Samba Pony Tonal Wales Bonner Core Black Women's Shoes,Adidas Samba,100.00,140.00,40.00,05/11/24,4,1
Size EU38 Adidas Women's Samba x Wales Bonner Leopard sneakers,Adidas Samba,124.32,145.00,20.68,05/13/24,6,1
Wales Bonner x Adidas Originals Samba Classic Women's Running Fashion Sneakers,Adidas Samba,116.42,129.00,12.58,05/30/24,2,1
Adidas sambas og,Adidas Samba,65.00,65.00,0.00,05/07/24,22,1
Wales Bonner x Samba ‘Silver Metallic Gum’ 2023 Adidas,Adidas Samba,108.30,120.00,11.70,05/29/24,5,1
Adidas X Wales Bonner Samba Shoes women’s,Adidas Samba,127.00,150.00,23.00,05/07/24,6,1
Adidas x Wales Bonner Samba Pony Leopard,Adidas Samba,138.00,138.00,0.00,06/05/24,1,1
sambas Adidas,Adidas Samba,22.00,22.00,0.00,06/05/24,9,1
Adidas x Wales Bonner Pony Samba cheetah Women's Casual Fashion Running Shoes,Adidas Samba,124.00,137.00,13.00,05/07/24,8,1
adidas silver samba wales bonner,Adidas Samba,134.00,134.00,0.00,05/09/24,9,1
Size 8 Sporty Rich x Adidas Sambas,Adidas Samba,99.17,142.00,42.83,05/14/24,17,1
Black Adidas Sambas Size 12,Adidas Samba,13.00,17.00,4.00,06/04/24,1,1
Adidas Samba OG Leather Retro Sneakers,Adidas Samba,74.00,114.00,40.00,03/12/24,10,1
Adidas Samba Wales Bonner leopard,Adidas Samba,100.60,130.00,29.40,05/04/24,2,1
Adidas Core Black/Cloud White Samba Classic Athletic Sneakers Sz 6,Adidas Samba,35.00,40.00,5.00,05/31/24,5,1
Adidas Classic return adidas Clover samba vegan Training shoes Small white shoes,Adidas Samba,65.00,85.00,20.00,04/26/24,12,1
Adidas Core Black/Cloud White Samba Leather Athletic Sneakers,Adidas Samba,40.00,50.00,10.00,05/29/24,10,1
Adidas - Samba OG white,Adidas Samba,66.69,67.00,0.31,06/03/24,10,1
Adidas - Samba OG white Women's 6.5 New,Adidas Samba,69.23,85.00,15.77,05/11/24,26,1
Adidas Samba Pony Tonal Wales Bonner Cream White EU39=Women's 7.5=Men's 6.5,Adidas Samba,95.79,152.00,56.21,03/30/24,4,1
Adidas Originals Samba OG Footwear White Core Black,Adidas Samba,69.49,77.00,7.51,06/01/24,5,1
Size EU 38.5 - Adidas Wales Bonner x Samba Silver Metallic Women‘s Sneaker,Adidas Samba,123.64,137.00,13.36,05/31/24,2,1
Adidas x Wales Bonner Collab. Black Pony Samba Women 8,Adidas Samba,145.00,145.00,0.00,06/05/24,1,1
Adidas Samba Classic Core Black/Cloud White,Adidas Samba,10.00,12.00,2.00,06/04/24,3,1
Clot x Adidas Superstar by Edison Chen Womens Casual Fashion Sports Running Shoe,Adidas Samba,138.90,162.00,23.10,05/24/24,2,1
Ａdidas Samba OG Leather Retro Sneakers White Black New in Box,Adidas Samba,65.00,73.00,8.00,05/27/24,5,1
Adidas samba training with all the slats casual shoes,Adidas Samba,60.00,86.00,26.00,04/08/24,41,1
NIB Adidas Wales Bonner Pony Leo Samba Women's size7.5 = EU 39,Adidas Samba,113.00,135.00,22.00,05/25/24,10,1
Adidas Samba OG Shoes (New with Tags),Adidas Samba,75.41,83.56,8.15,05/18/24,1,1
