user,posted date,likes,comments,saves,shares,views
jahinluv,1/2/23,118000,648,8810,5158,2300000
kixplore,1/28/23,45100,240,3834,1096,1400000
luke_liu,6/1/23,103800,264,17300,5220,3700000
salgadopaolo,6/15/23,277800,949,12700,7797,3500000
jdsportsau,6/19/23,42700,277,9861,6731,3300000
cydsimone,7/18/23,10800,353,2620,1984,1500000
katie.org,7/19/23,96500,423,3635,687,1700000
julia.hsiao,8/11/23,10600,78,2133,590,864500
daniellee_esther,8/16/23,9378,57,3808,954,328200
nafizmiah,8/23/23,71200,266,8041,821,2400000
matchasiims,8/24/23,4916,41,1413,1394,457300
ahhnastyy,8/30/23,6135,82,1382,489,150800
funmiade_,9/3/23,519,27,50,58,61000
adidas.samba24,9/11/23,142,0,23,21,45200
mojooda,9/20/23,187900,722,9622,964,2400000
iamjamiepaige,9/22/23,73400,1036,3281,1858,1500000
greats,9/22/23,8638,22,994,70,875400
thepurpose.daily,9/28/23,977300,6072,61700,29500,17600000
angelbryantt,9/28/23,147000,1716,4563,4070,1800000
katie.org,10/1/23,75500,156,1509,170,714400
annewilvdv,10/11/23,21400,227,4010,2195,289300
kethelenmouraa,12/4/23,27400,106,3897,1535,1600000
sagbbydre,12/23/23,317400,1299,6952,3235,3300000
mariami8,12/24/23,20500,117,3647,1533,282900
franciscamedinas,12/28/23,10600,183,2965,1994,814800
sashie_m,1/13/24,1100000,3353,53700,17900,17700000
blakelyhaney,1/27/24,47400,164,7194,2526,1300000
jjuancardonaaa,2/1/24,126000,2422,8239,14600,3000000
jocelynnmarlene,2/4/24,47900,220,7830,3280,1700000
mikayla.vallati,2/8/24,15400,57,1484,662,155000
dayswithdor,2/15/24,111900,643,16600,6945,3500000
sepidehghmi,2/23/24,33300,184,4366,2225,457200
erika.dwyer,3/1/24,24800,136,1936,166,542700
emmyyberry,3/4/24,82300,614,17900,9817,2100000
bevinsalt,3/5/24,64900,641,9046,7604,435900
miladweyy,3/12/24,75000,584,8871,1615,1600000
yannamornay_,3/25/24,10400,127,1183,480,214100
eloise.navy3,3/29/24,93600,293,11400,5298,1000000
abbcat_,4/2/24,89500,373,17900,2199,1500000
___tinay,4/3/24,525,0,45,393,50600
beligim,4/8/24,7799,714,1869,2450,788200
oyku_demirbas,4/10/24,4631,45,364,720,391600
carloscastroes,4/11/24,19100,62,551,130,536600
chlloee05,4/20/24,332200,603,9998,3769,2500000
intruetifffashion,4/23/24,5174,83,2159,1318,87400
mattbcustoms,4/25/24,43000,390,3241,2553,3900000
t.venty,4/26/24,635300,3225,40100,42600,4200000
_ashaynah_,4/26/24,5548,51,1509,1130,90900
threeslaysisters0,4/27/24,33900,56,900,112,417400
soyhaia,5/5/24,4799,127,275,623,333100
maiiarayne,5/10/24,429600,845,42400,12400,2400000
patti_santamaria,5/13/24,42500,1473,10700,17400,1800000
laurenwolfe,5/15/24,136400,249,24300,2628,3300000
alexandranraiss,5/15/24,15700,69,3466,3888,652800
rubystarokin,5/16/24,355,26,78,123,14100
larslavishlife,5/24/24,22800,141,3427,714,492700
nanncx,5/25/24,2222,120,142,80,116000
fashionbychlo_,5/31/24,268200,1019,35300,32600,1400000
ygfinds,6/1/24,336900,940,42000,35200,1900000
dylanashmore,6/2/24,274500,281,13100,4499,1400000
