title,product,selling price,original price,discount,date posted ,likes,sold
Brand New Women’s size 9W Adidas Campus 00s Black Leopard ID7039,Adidas Campus 00s,60.00,70.00,10.00,06/03/24,2,1
Adidas campus 00s,Adidas Campus 00s,55.00,65.00,10.00,06/04/24,3,1
Adidas Campus ‘00s Grey,Adidas Campus 00s,92.00,92.00,0.00,04/13/24,40,1
Adidas campus 00s x Korn black Gum Women's 8.5/40,Adidas Campus 00s,126.89,140.00,13.11,05/23/24,2,1
Adidas Campus 00’s Core Black Men’s Shoes HQ8708 Size 6.5M/7.5W,Adidas Campus 00s,90.00,100.00,10.00,05/29/24,1,1
Women's Korn x adidas originals Campus 00s Classic Retro Sneakers Size US 8,Adidas Campus 00s,142.00,142.00,0.00,05/31/24,1,1
IG0792 Korn adidas Originals Campus '00s Black White Gum (Women's),Adidas Campus 00s,114.00,165.00,51.00,05/16/24,6,1
NWT Korn adidas Originals Campus 00s Black/White Gum UNISEX,Adidas Campus 00s,145.00,170.00,25.00,06/02/24,2,1
Women's Adidas x Korn Campus 00s Shoes Size 6.5,Adidas Campus 00s,115.00,130.00,15.00,05/24/24,2,1
Women's Korn Adidas Originals Campus '00s Black White Gum Size 6,Adidas Campus 00s,121.84,135.00,13.16,04/24/24,5,1
"adidas Campus 00s ""Core Black"" -- HQ8708 -- Size 10.5M",Adidas Campus 00s,90.00,120.00,30.00,05/30/24,2,1
Adidas x Korn Campus 00s Black Gum Men's Size 7,Adidas Campus 00s,121.60,128.00,6.40,05/18/24,4,1
New KORN Campus 00S Adidas Sneakers,Adidas Campus 00s,115.75,135.00,19.25,04/30/24,15,1
Adidas Originals Campus 00s Shoe Blue Grey White Gum Mens Womens Size 8.5 IH7509,Adidas Campus 00s,120.00,120.00,0.00,05/12/24,13,1
Adidas campus 00s,Adidas Campus 00s,80.00,99.00,19.00,05/03/24,20,1
Adidas x Korn Campus 00s Black Gum | US 7 EU 38 | IG0792 | Brand New |Fast post,Adidas Campus 00s,115.00,160.00,45.00,04/06/24,15,1
New Korn x adidas Campus 00s Women's Size 6,Adidas Campus 00s,97.00,165.00,68.00,05/10/24,2,1
Brand New Adidas x KoRn Campus ‘00s 2 Follow the Leader Off White size 9.5M/11W,Adidas Campus 00s,150.00,180.00,30.00,05/18/24,9,1
Brand New Adidas x KoRn Campus ‘00s 2 Follow the Leader Off White size 9M/10.5W,Adidas Campus 00s,150.00,180.00,30.00,05/18/24,5,1
Adidas x Korn Campus 00s Women's Size 5,Adidas Campus 00s,134.00,134.00,0.00,05/22/24,3,1
Adidas Korn x Campus 00s _Black Gum Men's Shoes Size 8,Adidas Campus 00s,126.00,126.00,0.00,05/18/24,10,1
Adidas Campus 00s,Adidas Campus 00s,88.00,95.00,7.00,05/18/24,8,1
Adidas campus 00s,Adidas Campus 00s,95.00,99.00,4.00,05/22/24,17,1
Adidas campus 00s black US M 4 / W 5,Adidas Campus 00s,92.00,115.00,23.00,05/04/24,12,1
Women's shoes Size 6 - adidas Korn x Campus 00s Black Gum,Adidas Campus 00s,136.00,136.00,0.00,05/25/24,1,1
Adidas campus 00s korn shoes,Adidas Campus 00s,101.00,162.41,61.41,05/15/24,1,1
Women's Adidas x Korn Campus 00s Shoes Size 7,Adidas Campus 00s,118.84,198.60,79.76,04/05/24,10,1
adidas Campus 00s size 11,Adidas Campus 00s,8.00,12.00,4.00,05/22/24,1,1
New Korn x adidas Campus 00s (women's) Size 6,Adidas Campus 00s,122.76,167.00,44.24,05/11/24,3,1
IG0792 Korn adidas Originals Campus '00s Black White Gum (Men's)size：8/41,Adidas Campus 00s,118.72,170.00,51.28,04/06/24,59,1
