title,product,selling price,original price,discount,date posted ,likes,sold
Adidas - Samba OG white,Adidas Samba,67,67,0,06/05/24,3,0
Adidas - Samba OG white,Adidas Samba,66,66,0,06/03/24,9,0
Adidas Samba black indoor soccer shoes size 6Y,Adidas Samba,50,50,0,05/29/24,29,0
Adidas,Adidas Samba,38.58,45,6.42,06/01/24,8,0
Adidas,Adidas Samba,56.05,59,2.95,06/05/24,1,0
Adidas Samba Wales Bonner Silver Women's Running Fashion Casual Sneakers Size 38,Adidas Samba,121.6,128,6.4,06/04/24,2,0
Adidas Samba OG,Adidas Samba,70.3,74,3.7,04/24/24,41,0
Adidas Samba,Adidas Samba,83,83,0,06/05/24,2,0
Adidas Sambas,Adidas Samba,71.25,75,3.75,05/28/24,18,0
Black Adidas Sambas Original Men Shoes (NEW),Adidas Samba,85,85,0,05/31/24,7,0
"Adidas Originals Samba OG Men's Shoes Trainers Classic ""Black Wihte""",Adidas Samba,81,81,0,05/31/24,9,0
Adidas OG Samba Sneakers Big Kids Size Men's 7,Adidas Samba,82,82,0,05/31/24,7,0
Men's New Adidas Samba OG Sneaker Shoes Black White Size 8,Adidas Samba,65,80,15,04/23/24,34,0
Adidas Samba Classic,Adidas Samba,35,35,0,04/17/24,8,0
Adidas Samba OG Leather Retro Sneakers White Black,Adidas Samba,66.58,66.58,0,06/04/24,4,0
Adidas Originals Samba Classic Men Black White Sneakers,Adidas Samba,82,82,0,05/31/24,1,0
Adidas Originals Samba OG Size 7,Adidas Samba,80,80,0,05/31/24,2,0
adidas Samba OG Cloud White Core Black Size 5.5,Adidas Samba,90.25,95,4.75,06/03/24,3,0
Adidas samba cardboard mens 9 size 10 womens,Adidas Samba,170,170,0,05/31/24,4,0
Adidas Samba Classic Youth Size 4.5 Core 036516 Black Low Top Shoes Sneakers,Adidas Samba,40,40,0,06/05/24,0,0
Adidas Samba Classic Shoe,Adidas Samba,64,64,0,06/04/24,12,0
Wales Bonner Samba Silver Metallic Gum 2023 Adidas Sneakers Women’s Size 9.5,Adidas Samba,115.52,128,12.48,05/30/24,5,0
